dataset,subject,age,gender,small,large,type,similarity,response_time,difference,ratio,mean_ratio,log_ratio,relative_diff,disparity,salience,discrim,logistic
1,1-11,26,Male,26,62,Amount,0,NA,36,0.4194,0.5909,-0.869,0.5806,0.8182,0.4091,0.5436,0
1,1-11,26,Male,62,66,Amount,1,NA,4,0.9394,0.9688,-0.0625,0.0606,0.0625,0.0312,2.8034,0.018
1,1-11,26,Male,15,27,Amount,0,NA,12,0.5556,0.7143,-0.5878,0.4444,0.5714,0.2857,0.8109,0
1,1-11,26,Male,50,90,Amount,0,NA,40,0.5556,0.7143,-0.5878,0.4444,0.5714,0.2857,0.8109,0
1,1-11,26,Male,52,61,Amount,0,NA,9,0.8525,0.9204,-0.1596,0.1475,0.1593,0.0796,1.9136,1e-4
1,1-11,26,Male,18,21,Amount,1,NA,3,0.8571,0.9231,-0.1542,0.1429,0.1538,0.0769,1.9459,0.0474
1,1-11,26,Male,8,29,Amount,0,NA,21,0.2759,0.4324,-1.2879,0.7241,1.1351,0.5676,0.3228,0
1,1-11,26,Male,50,90,Delay,0,NA,40,0.5556,0.7143,-0.5878,0.4444,0.5714,0.2857,0.8109,0
1,1-11,26,Male,15,31,Amount,0,NA,16,0.4839,0.6522,-0.7259,0.5161,0.6957,0.3478,0.6614,0
1,1-11,26,Male,22,53,Amount,0,NA,31,0.4151,0.5867,-0.8792,0.5849,0.8267,0.4133,0.5363,0
1,1-11,26,Male,17,18,Amount,1,NA,1,0.9444,0.9714,-0.0572,0.0556,0.0571,0.0286,2.8904,0.2689
1,1-11,26,Male,12,28,Amount,0,NA,16,0.4286,0.6,-0.8473,0.5714,0.8,0.4,0.5596,0
1,1-11,26,Male,18,40,Amount,0,NA,22,0.45,0.6207,-0.7985,0.55,0.7586,0.3793,0.5978,0
1,1-11,26,Male,23,48,Amount,0,NA,25,0.4792,0.6479,-0.7357,0.5208,0.7042,0.3521,0.6523,0
1,1-11,26,Male,15,16,Amount,1,NA,1,0.9375,0.9677,-0.0645,0.0625,0.0645,0.0323,2.7726,0.2689
1,1-11,26,Male,15,18,Amount,1,NA,3,0.8333,0.9091,-0.1823,0.1667,0.1818,0.0909,1.7918,0.0474
1,1-11,26,Male,15,20,Amount,0,NA,5,0.75,0.8571,-0.2877,0.25,0.2857,0.1429,1.3863,0.0067
1,1-11,26,Male,15,22,Amount,0,NA,7,0.6818,0.8108,-0.383,0.3182,0.3784,0.1892,1.1451,9e-4
1,1-11,26,Male,52,61,Delay,0,NA,9,0.8525,0.9204,-0.1596,0.1475,0.1593,0.0796,1.9136,1e-4
1,1-11,26,Male,15,24,Amount,0,NA,9,0.625,0.7692,-0.47,0.375,0.4615,0.2308,0.9808,1e-4
1,1-11,26,Male,15,26,Amount,0,NA,11,0.5769,0.7317,-0.55,0.4231,0.5366,0.2683,0.8602,0
